31,Chocolate,alimentos,40.0,2.25
34,Galletas,alimentos,60.0,1.7
37,Queso,alimentos,35.0,4.1
40,Huevos,alimentos,55.0,2.3
33,Crema corporal,higiene,28.0,8.5
36,Enjuague bucal,higiene,25.0,3.75
39,Papel higiénico,higiene,45.0,2.6
32,Microondas,tecnologia,5.0,130.0
35,Smartphone,tecnologia,9.0,699.99
38,Plancha,tecnologia,12.0,45.0
3,Pan,alimentos,50.0,1.2
5,Manzanas,alimentos,40.0,2.99
9,Cereal,alimentos,25.0,3.8
2,Shampoo,higiene,25.0,4.5
6,Detergente,higiene,30.0,5.3
8,Jabón,higiene,60.0,1.1
1,Televisor,tecnologia,8.0,499.99
4,Mouse,tecnologia,15.0,15.99
7,Teclado,tecnologia,12.0,22.5
10,Auriculares,tecnologia,20.0,35.0
21,Atún,alimentos,30.0,2.1
24,Helado,alimentos,25.0,3.5
28,Carne,alimentos,22.0,6.8
23,Perfume,higiene,18.0,25.0
26,Servilletas,higiene,50.0,1.7
29,Champú infantil,higiene,15.0,4.9
22,Cámara,tecnologia,9.0,320.0
25,Impresora,tecnologia,7.0,120.0
27,Smartwatch,tecnologia,11.0,199.99
30,Disco duro externo,tecnologia,10.0,75.0
11,Arroz,alimentos,80.0,1.5
15,Leche,alimentos,60.0,0.99
18,Yogur,alimentos,45.0,1.25
13,Pasta dental,higiene,40.0,2.4
16,Desodorante,higiene,35.0,3.1
19,Toallas,higiene,20.0,6.2
12,Portátil,tecnologia,6.0,899.0
14,Monitor,tecnologia,10.0,150.0
17,Tablet,tecnologia,8.0,250.0
20,Altavoces,tecnologia,14.0,60.0
